ID PCA,Grupo,Subgrupo,Classe,ID,Descrição,Unidade,Quantidade,Valor Unitário,Valor Total Estimado,Demandante,SIGLA,Quantidade (num),Valor Unitário (num),Valor Total Estimado (num)
7350,MATERIAL DE EXPEDIENTE E ESCOLAR,ARTIGOS PARA ESCRITÓRIO,EXTRATOR GRAMPOS,461,"EXTRATOR GRAMPOS , MATERIAL: METAL, TRATAMENTO SUPERFICIAL: NIQUELADO, TIPO: ESPÁTULA.",UNIDADE,2300," R$ 1,33 "," R$ 3.059,00 ",DIRETORIA DE LOGÍSTICA,DLOG,2300.0,1.33,3059.0
7461,MATERIAL DE LIMPEZA E PRODUTO DE HIGIENIZAÇÃO,ARTIGOS E UTENSÍLIOS PARA LIMPEZA,BALDE,1141,"BALDE , MATERIAL(IS): POLIPROPILENO, COR(ES): A SER DEFINIDA, CAPACIDADE: 20 LITROS, CARACTERÍSTICA(S) ADICIONAL(IS): COM ALÇA DE METAL.",UNIDADE,300," R$ 14,46 "," R$ 4.338,00 ",DIRETORIA DE LOGÍSTICA,DLOG,300.0,14.46,4338.0
9001,MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS,"FERRAGENS E ARTEFATOS DE METAL, DE PLÁSTICO E ABRASIVO",LIXA PARA PAREDE,2252,"LIXA PARA PAREDE , REFERÊNCIA GRÃO: Nº 80, DIMENSÕES: 23CM X 28CM (L X A).",FOLHA,1200," R$ 0,76 "," R$ 912,00 ",DIRETORIA DE LOGÍSTICA,DLOG,1200.0,0.76,912.0
9000,MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS,"FERRAGENS E ARTEFATOS DE METAL, DE PLÁSTICO E ABRASIVO",LIXA PARA MATERIAIS FERROSOS,2275,"LIXA PARA MATERIAIS FERROSOS , MATERIAL: CARBURETO DE SILÍCIO, APLICAÇÃO: MATERIAL FERROSO, REFERÊNCIA GRÃO: Nº 80, DIMENSÕES: 275MM X 225MM (A X L), CARACTERÍSTICAS ADICIONAIS: COSTADO DE TECIDO.",FOLHA,1200," R$ 2,16 "," R$ 2.592,00 ",DIRETORIA DE LOGÍSTICA,DLOG,1200.0,2.16,2592.0
6482,GÊNEROS DE ALIMENTAÇÃO +,BEBIDAS NÃO ALCOÓLICAS (EXCETO PRODUTOS LÁCTEOS),ÁGUA MINERAL,2282,"ÁGUA MINERAL , COMPOSIÇÃO: ÁGUA MINERAL NATURAL, SEM GÁS, CARACTERÍSTICA(S) ADICIONAL(IS): PRODUTO EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, UNIDADE DE FORNECIMENTO: EMBALAGEM COM 500ML.",EMBALAGEM,6500," R$ 1,75 "," R$ 11.375,00 ",DIRETORIA DE ATENÇÃO PRIMÁRIA,DAP,6500.0,1.75,11375.0
6518,GÊNEROS DE ALIMENTAÇÃO +,CONDIMENTOS OU TEMPEROS,SAL,2578,"SAL , TIPO: COMUM, APRESENTAÇÃO: REFINADO E IODADO, CARACTERÍSTICA(S) ADICIONAL(IS): PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, UNIDADE DE FORNECIMENTO: EMBALAGEM COM 1KG.(ID CADASTRADO NO CONTRATO Nº.013/2022)",EMBALAGEM,72," R$ 1,42 "," R$ 102,24 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,72.0,1.42,102.24
6519,GÊNEROS DE ALIMENTAÇÃO +,CEREAIS,ARROZ,2581,"ARROZ , TIPO: 01, GRUPO: BENEFICIADO, SUBGRUPO: POLIDO, CLASSE: LONGO FINO, CARACTERÍSTICA(S) ADICIONAL(IS): PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, UNIDADE DE FORNECIMENTO: EMBALAGEM COM 1KG.(ID CADASTRADO NO CONTRATO Nº.013/2022)",EMBALAGEM,540," R$ 5,10 "," R$ 2.754,00 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,540.0,5.1,2754.0
7534,MATERIAL DE PROTEÇÃO E SEGURANÇA,MATERIAIS E ACESSÓRIOS DE PROTEÇÃO INDIVIDUAL,ÓCULOS PROTEÇÃO,4940,"ÓCULOS PROTEÇÃO , MATERIAL: LENTE EM POLICARBONATO ANTI-EMBAÇANTE, ANTI-RISCO, APRESENTAÇÃO: COM PROTEÇÃO (ABAS) LATERAIS LARGAS EM POLICARBONATO, SENDO A LENTE INTEIRIÇA COM A LATERAL, HASTES RETRÁTEIS REGULÁVEIS PARA ADAPTAR-SE AOS DIVERSOS TAMANHO DE FACE E PARA FIXAÇÃO NAS ORELHAS, CARACTERÍSTICAS ADICIONAIS: CORDÃO PARA SUPORTE DO ÓCULOS NO PESCOÇO DO USUÁRIO CONFECCIONADO EM POLIPROPILENO, APLICAÇÃO: CONTRA IMPACTO E CONTAMINAÇÃO ATRAVÉS DE LIQUIDO",UNIDADE,500," R$ 5,64 "," R$ 2.820,00 ",DIRETORIA DE LOGÍSTICA,DLOG,500.0,5.64,2820.0
7534,MATERIAL DE PROTEÇÃO E SEGURANÇA,MATERIAIS E ACESSÓRIOS DE PROTEÇÃO INDIVIDUAL,ÓCULOS PROTEÇÃO,4940,"ÓCULOS PROTEÇÃO , MATERIAL: LENTE EM POLICARBONATO ANTI-EMBAÇANTE, ANTI-RISCO, APRESENTAÇÃO: COM PROTEÇÃO (ABAS) LATERAIS LARGAS EM POLICARBONATO, SENDO A LENTE INTEIRIÇA COM A LATERAL, HASTES RETRÁTEIS REGULÁVEIS PARA ADAPTAR-SE AOS DIVERSOS TAMANHO DE FACE E PARA FIXAÇÃO NAS ORELHAS, CARACTERÍSTICAS ADICIONAIS: CORDÃO PARA SUPORTE DO ÓCULOS NO PESCOÇO DO USUÁRIO CONFECCIONADO EM POLIPROPILENO, APLICAÇÃO: CONTRA IMPACTO E CONTAMINAÇÃO ATRAVÉS DE LIQUIDO",UNIDADE,500," R$ 5,64 "," R$ 2.820,00 ",DIRETORIA DE REDE PRÉ-HOSPITALAR MÓVEL E SANITÁRIO,DREMPS,500.0,5.64,2820.0
7555,MATERIAL DE SINALIZAÇÃO VISUAL E AFINS,ARTIGOS E MATERIAL PARA SINALIZAÇÃO E SEGURANÇA VIÁRIA,CONE SINALIZAÇÃO,5183,"CONE SINALIZAÇÃO , APLICAÇÃO: USO GERAL, MATERIAL: PVC FLEXÍVEL, COR: LARANJA, DIMENSÕES: 75CM DE ALTURA, CARACTERÍSTICAS ADICIONAIS: FAIXAS NA COR BRANCA COM 10CM DE LARGURA.",UNIDADE,100," R$ 51,39 "," R$ 5.139,00 ",DIRETORIA DE REDE PRÉ-HOSPITALAR MÓVEL E SANITÁRIO,DREMPS,100.0,51.39,5139.0
